customer_id,name,months_as_customer,age,country,street_addrees,city,state,state_code,insured_zip,email_address,phone_number,insured_sex,national_id,creditcard_number,creditcard_type,creditcard_exp,creditcard_cvv,insured_education_level,insured_hobbies,insured_relationship,insured_occupation,marital_status,customer_lifetime_value,no_of_policies,no_of_closed_complaints,no_of_communications,no_of_complaints,no_of_open_complaints
YC9YDSY,Fannie Sinicki,371,52,US,"154 Turnpike Road, Rte 9",Southborough,Massachusetts,MA,449800,anobrigacz@51.la,734-103-3370,FEMALE,596-87-7974,4.11E+15,VISA,23-Oct,7651,High School,paintball,own-child,other-service,Single,8247.952072,7,0,4,4,0
7DOT7XQ,James Payton,343,52,US,2250  Monument Blvd,Concord,California,CA,602402,moffermt@odnoklassniki.ru,954-428-4007,FEMALE,142-59-4399,3.09E+15,JCB,19-Oct,8379,Associate,bungie-jumping,not-in-family,prof-specialty,Married,4389.945709,1,0,4,9,1
CV1WFSU,Lester Nix,377,53,US,1300 Prospect Ave.,Helena,Montana,MT,452456,moffermt@odnoklassniki.ru,253-306-2215,FEMALE,849-86-5647,4.11E+15,VISA,21-Sep,2816,MD,kayaking,unmarried,craft-repair,Married,4389.945709,1,0,4,9,1
8RK74EF,Bryan Adams,154,37,US,2100 Roswell Rd.,Marietta,Georgia,GA,439269,moffermt@odnoklassniki.ru,206-798-1375,FEMALE,182-80-3456,6.01E+15,Discover,19-Apr,1700,MD,dancing,other-relative,farming-fishing,Married,4389.945709,1,0,4,9,1
N46XWSC,Julia Hollis,166,34,US,1166 Avenue of the Americas,New York,New York,NY,617774,nshapter42@github.io,315-740-9767,FEMALE,566-35-4468,6.01E+15,Discover,22-Nov,6027,High School,base-jumping,wife,machine-op-inspct,Married,5585.30807,9,0,3,7,0
RRFBD0D,Juan Monroe,298,46,US,12602 N Paradise Village Pkwy,Phoenix,Arizona,AZ,477678,aingallab@gnu.org,808-976-1894,MALE,788-59-0419,3.70E+14,American Express,23-Aug,4236,JD,dancing,own-child,prof-specialty,Married,4751.280948,1,3,4,7,0
W8NMSV9,Alan Earwood,235,42,US,12701 FM 1960 Rd W,Houston,Texas,TX,444913,aingallab@gnu.org,713-463-7733,FEMALE,295-29-1538,6.01E+15,Discover,23-Dec,4448,Masters,exercise,husband,machine-op-inspct,Married,4751.280948,1,3,4,7,0
26FSZ4F,Gerardo Mckinnon,172,35,US,208 LAKEWOOD CENTER MALL,Lakewood,California,CA,456602,fkincaderh@ow.ly,808-665-3825,MALE,690-41-9537,3.09E+15,JCB,20-Aug,3133,MD,paintball,own-child,handlers-cleaners,Married,3207.468733,1,0,3,3,0
Y7N4VPW,Jasmin Flynn,27,28,US,102 First Avenue,Seattle,Washington,WA,451560,fkincaderh@ow.ly,408-632-6035,MALE,880-12-0279,3.00E+13,Diners Club,23-Mar,6565,JD,polo,other-relative,farming-fishing,Married,3207.468733,1,0,3,3,0
NU4Z05Y,Julie Hunt,428,54,US,1 Airport Rd,Manchester,New Hampshire,NH,453407,eathridge3q@people.com.cn,213-558-9555,MALE,495-97-7382,5.50E+15,Master Card,21-Jul,6120,Masters,kayaking,unmarried,transport-moving,Single,11288.17204,2,0,4,3,0
2ITDTR8,Sheryl West,99,32,US,2200 Maple Avenue,Rapid City,South Dakota,SD,618655,eathridge3q@people.com.cn,407-965-5338,MALE,401-93-8114,3.70E+14,American Express,21-Dec,918,JD,golf,unmarried,craft-repair,Single,11288.17204,2,0,4,3,0
PPRR3KZ,Kelsey Yi,107,26,US,1900 Aloma Ave,Winter Park,Florida,FL,612550,eathridge3q@people.com.cn,502-285-4673,MALE,636-13-4300,6.01E+15,Discover,21-Mar,6890,MD,cross-fit,own-child,sales,Single,11288.17204,2,0,4,3,0
B0UG5ED,Sandy Guilford,272,41,US,16275 N. Scottsdale Rd.,Scottsdale,Arizona,AZ,466718,cweatherburnc1@elpais.com,402-349-7896,FEMALE,738-38-8779,3.70E+14,American Express,22-Sep,1603,Associate,reading,own-child,farming-fishing,Divorced,12168.64405,2,2,8,1,0
5SFU9SB,Elaine Moreno,151,37,US,2205 Longmire,College Station,Texas,TX,617947,cweatherburnc1@elpais.com,618-224-3648,FEMALE,153-65-6599,3.09E+15,JCB,18-Jun,5622,Masters,dancing,own-child,farming-fishing,Divorced,12168.64405,2,2,8,1,0
Z6YOV6W,Connie Maynard,249,43,US,1817 E. Southeast Loop 323,Tyler,Texas,TX,606238,cweatherburnc1@elpais.com,209-726-1165,FEMALE,800-92-2916,6.01E+15,Discover,21-Jul,1398,MD,cross-fit,own-child,armed-forces,Divorced,12168.64405,2,2,8,1,0
6RXBMCL,Shauna Munnis,177,38,US,"1735 N Lynn St, Ste 020",Arlington,Virginia,VA,463842,cdeqt@google.pl,832-668-8876,FEMALE,848-92-4836,3.70E+14,American Express,22-Dec,6498,College,skydiving,other-relative,adm-clerical,Divorced,8901.678357,8,0,2,1,1
X2VH29X,Leigh Murray,190,40,US,1711 North Victory Place,Burbank,California,CA,610354,aflacknellhd@shop-pro.jp,786-657-5864,FEMALE,358-73-4528,3.00E+13,Diners Club,23-Dec,4953,JD,camping,other-relative,exec-managerial,Married,5257.241485,4,0,6,2,0
8DPFJPP,Janet Partin,174,36,US,12840 West Forest Hills Blvd,Wellington,Florida,FL,461328,rmillsome7@so-net.ne.jp,303-899-5524,FEMALE,764-03-3864,6.01E+15,Discover,20-Apr,9849,College,paintball,own-child,tech-support,Married,2395.968567,1,1,3,4,0
TS5NIDZ,Mack Straight,95,28,US,1 Penn Plaza Concourse Level,New York,New York,NY,458727,rmillsome7@so-net.ne.jp,810-744-9247,MALE,872-40-4214,3.70E+14,American Express,21-Sep,5933,Associate,board-games,other-relative,armed-forces,Married,2395.968567,1,1,3,4,0
KZ7XIV7,Walton Jones,371,51,US,2021 Collier Pkwy,Land O' Lakes,Florida,FL,452587,rmillsome7@so-net.ne.jp,859-177-2175,FEMALE,672-43-5842,6.01E+15,Discover,19-May,4042,Associate,golf,other-relative,tech-support,Married,2395.968567,1,1,3,4,0
4ZZMBGP,Allen Long,2,28,US,180 County Road,Barrington,Rhode Island,Rhode,433184,hdanaher7@rakuten.co.jp,303-808-7391,FEMALE,802-85-5938,3.00E+13,Diners Club,18-Jun,6780,JD,golf,not-in-family,machine-op-inspct,Single,5264.361755,7,0,7,9,3
N101JKD,Spencer Mcclain,269,44,US,11 Sloan Street,South Orange,New Jersey,NJ,451280,hdanaher7@rakuten.co.jp,772-620-1340,FEMALE,305-56-8496,3.70E+14,American Express,19-Nov,8081,JD,chess,own-child,other-service,Single,5264.361755,7,0,7,9,3
4BUDCHT,Stephen Reed,101,27,US,1670 Broadway,Denver,Colorado,CO,603269,hdanaher7@rakuten.co.jp,210-189-5864,MALE,730-57-4435,6.01E+15,Discover,20-Oct,1621,Masters,golf,other-relative,machine-op-inspct,Single,5264.361755,7,0,7,9,3
NUAEONI,Jesus Cottrell,94,30,US,12909 NE 99,Salmon Creek,Washington,WA,442632,gpingqq@shop-pro.jp,808-310-2452,FEMALE,317-42-6092,6.01E+15,Discover,18-Jun,3876,High School,paintball,other-relative,armed-forces,Married,4960.965384,9,0,7,7,0
WEPLQLT,Timothy Ennen,117,28,US,2051 Gattis School Road,Round Rock,Texas,TX,447300,gpingqq@shop-pro.jp,701-791-4089,FEMALE,758-10-1681,6.01E+15,Discover,21-Mar,2005,Associate,yachting,unmarried,transport-moving,Married,4960.965384,9,0,7,7,0
OW3N2E8,Amber Phillips,111,27,US,1620 North Main Street,Logan,Utah,UT,441783,gpingqq@shop-pro.jp,212-647-8394,MALE,322-01-9285,3.70E+14,American Express,18-Dec,4723,MD,yachting,other-relative,sales,Married,4960.965384,9,0,7,7,0
7RZCVAE,Dana Brown,242,40,US,14900 Manchester Road,Ballwin,Missouri,MO,468702,mmachen7n@reuters.com,719-611-4302,FEMALE,586-05-8506,3.09E+15,JCB,23-Sep,7433,High School,bungie-jumping,husband,transport-moving,Married,2231.786517,1,2,1,7,1
DMF0HGK,Paul Roberts,440,61,US,1057 A MacArthur Blvd,San Leandro,California,CA,467942,evalentinuzzi8k@privacy.gov.au,254-365-0628,MALE,291-48-5651,3.09E+15,JCB,21-Jul,9502,PhD,movies,wife,transport-moving,Married,9189.518267,5,0,5,5,4
AYSPDID,Rebecca Foote,20,23,US,15970 Los Serranos Ctry Club Drive,Chino Hills,California,CA,463678,evalentinuzzi8k@privacy.gov.au,512-872-3097,FEMALE,297-81-4188,3.00E+13,Diners Club,20-Mar,3993,JD,base-jumping,wife,tech-support,Married,9189.518267,5,0,5,5,4
55X09B8,Edna Francis,461,57,US,1745 Madison Avenue,Council Bluffs,Iowa,IA,615220,ftrumpeter3w@berkeley.edu,319-305-5515,FEMALE,865-56-1679,3.00E+13,Diners Club,21-Mar,7073,High School,golf,own-child,farming-fishing,Married,15984.52739,2,0,9,6,0
J6MPU3M,Joyce Bailes,208,36,US,2241 North Maize Road,Wichita,Kansas,KS,432711,ftrumpeter3w@berkeley.edu,603-782-3827,MALE,689-87-2060,4.11E+15,VISA,23-Sep,4873,Associate,base-jumping,other-relative,craft-repair,Married,15984.52739,2,0,9,6,0
508IOAH,David Robison,279,43,US,110  West Lincoln Avenue,Anaheim,California,CA,463583,hedlestonejs@hhs.gov,716-106-8392,MALE,451-81-7603,3.70E+14,American Express,22-Mar,5626,Associate,cross-fit,other-relative,machine-op-inspct,Married,3226.850118,1,0,2,7,0
82DPOPQ,Dixie Lansing,244,40,US,201 E Jefferson Ave,Englewood,Colorado,CO,439502,hedlestonejs@hhs.gov,513-693-6409,FEMALE,105-99-6192,3.09E+15,JCB,18-May,944,MD,base-jumping,husband,sales,Married,3226.850118,1,0,2,7,0
3I4P0XB,Julie Crissler,134,30,US,101 W. Main Street,Alhambra,California,CA,613287,hedlestonejs@hhs.gov,719-537-4666,FEMALE,582-53-9446,3.09E+15,JCB,19-May,7932,PhD,dancing,unmarried,exec-managerial,Married,3226.850118,1,0,2,7,0
KXS9KGW,Anna Giddens,122,29,US,1150 South Federal Hwy,Ft. Lauderdale,Florida,FL,620104,sthextonqq@friendfeed.com,540-968-0367,FEMALE,423-13-0068,3.70E+14,American Express,23-Jun,4439,Masters,skydiving,other-relative,priv-house-serv,Married,4722.237214,3,0,5,3,0
9X9VNNG,Noel Wren,156,31,US,100 South Hampton,Clarksville,Tennessee,TN,446895,sthextonqq@friendfeed.com,561-697-4016,MALE,388-12-6491,3.09E+15,JCB,21-Nov,24,PhD,reading,husband,other-service,Married,4722.237214,3,0,5,3,0
815VWQ2,Emanuel Hafferkamp,232,43,US,1050 N. Rte 83,Mundelein,Illinois,IL,431531,sthextonqq@friendfeed.com,623-703-4018,MALE,864-10-3087,4.11E+15,VISA,21-Sep,4126,College,golf,husband,machine-op-inspct,Married,4722.237214,3,0,5,3,0
VLK2ISG,Hector Ha,244,40,US,2104 Airport Freeway,Bedford,Texas,TX,605408,amulderrigj7@usa.gov,573-634-8194,MALE,803-06-0911,6.01E+15,Discover,22-Aug,7117,Masters,base-jumping,other-relative,armed-forces,Married,5278.183759,3,1,8,8,0
RVTONFR,Stephanie Lavoie,84,30,US,1507C W Bay Area Blvd,Webster,Texas,TX,457551,amulderrigj7@usa.gov,408-617-6890,FEMALE,531-39-8974,6.01E+15,Discover,21-Mar,8917,MD,kayaking,wife,protective-serv,Married,5278.183759,3,1,8,8,0
IMLVG0S,Donald Scott,394,57,US,1 North Main Street,Yardley,Pennsylvania,PA,619892,dbiglinnw@google.com.br,202-972-0057,FEMALE,152-80-8054,3.70E+14,American Express,22-Aug,2218,High School,movies,own-child,craft-repair,Single,5521.542577,9,1,4,2,0
HQH31B6,Todd Chambers,246,45,US,1907 Gallatin Pike North,Madison,Tennessee,TN,445853,hhallward1a@vimeo.com,202-729-0091,MALE,634-48-9446,6.01E+15,Discover,18-Nov,7766,JD,hiking,wife,machine-op-inspct,Single,3122.984111,1,0,0,8,0
YEC3EMA,Kelly Krogman,35,29,US,199 E Cocoa Beach Causeway,Cocoa Beach,Florida,FL,475483,hhallward1a@vimeo.com,704-723-6506,FEMALE,452-62-8589,4.11E+15,VISA,18-Nov,5386,JD,video-games,unmarried,handlers-cleaners,Single,3122.984111,1,0,0,8,0
MN5GIK4,Sandy Jones,156,37,US,1419 S. Broadway Street,Santa Maria,California,CA,606290,mhowey8e@discuz.net,903-165-5313,MALE,530-28-2470,3.09E+15,JCB,23-Mar,9359,Associate,reading,other-relative,protective-serv,Divorced,31803.30779,2,2,1,9,0
1OFPLVT,John Osborne,195,36,US,20 N. SUMMERLIN AVE,Orlando,Florida,FL,611852,mhowey8e@discuz.net,214-979-7698,FEMALE,482-87-5273,3.70E+14,American Express,19-Jul,6744,Associate,camping,wife,machine-op-inspct,Divorced,31803.30779,2,2,1,9,0
RHHSX1J,Kevin Allis,369,55,US,1939 S Val Vista Dr,Mesa,Arizona,AZ,444734,mhowey8e@discuz.net,806-243-0767,MALE,397-26-9890,4.11E+15,VISA,19-Sep,3857,College,camping,husband,handlers-cleaners,Divorced,31803.30779,2,2,1,9,0
AF3FQ8V,Mark Jackson,271,40,US,1416 Platte River,Denver,Colorado,CO,433683,cwimpeneyim@hhs.gov,281-359-6996,FEMALE,575-25-6863,3.70E+14,American Express,23-Nov,9099,Associate,camping,wife,other-service,Married,2422.194555,1,0,4,5,1
AWCSZ1V,Phyllis Winslow,332,47,US,101 N Tyron St,Charlotte,North Carolina,NC,448882,cwimpeneyim@hhs.gov,913-351-1080,MALE,237-06-5928,4.11E+15,VISA,18-Jun,6730,MD,paintball,other-relative,craft-repair,Married,2422.194555,1,0,4,5,1
UXRUHQ3,Priscilla Boyer,107,26,US,1569 North Decatur Road,Atlanta,Georgia,GA,466838,kmcskeaganlj@moonfruit.com,323-375-0790,FEMALE,860-92-0501,6.01E+15,Discover,21-Oct,8853,JD,skydiving,wife,armed-forces,Single,5064.127663,6,2,0,1,1
D98I29R,Avis Fontaine,217,39,US,1002 Dixieland Rd,Harlingen,Texas,TX,605490,kmcskeaganlj@moonfruit.com,612-256-1393,FEMALE,628-23-7014,6.01E+15,Discover,18-Jun,5423,Masters,skydiving,other-relative,other-service,Single,5064.127663,6,2,0,1,1
VULGFB4,Louise Holland,243,43,US,126 Broadway,Hillsdale,New Jersey,NJ,466137,bpechtem@mapquest.com,601-192-3813,FEMALE,514-48-6124,3.70E+14,American Express,19-Aug,4481,Associate,board-games,own-child,machine-op-inspct,Single,60556.19213,2,1,9,5,0
6MD7UHZ,Pearl Davis,296,42,US,1750 Divisadero Street,San Francisco,California,CA,466970,rzanuttik9@sciencedirect.com,806-350-1787,MALE,682-34-1252,4.11E+15,VISA,21-May,8075,Associate,paintball,husband,tech-support,Married,7712.436971,5,2,2,6,0
YXA0KZG,Donna Stockton,264,41,US,15175 Whittier Blvd.,Whittier,California,CA,474801,rzanuttik9@sciencedirect.com,805-622-4620,MALE,789-62-0613,4.11E+15,VISA,19-Mar,1621,PhD,cross-fit,unmarried,prof-specialty,Married,7712.436971,5,2,2,6,0
AHLXNZB,Johnathan Thornton,108,33,US,22435 Ventura Blvd,Woodland Hills,California,CA,450703,lbalentyneh6@blogtalkradio.com,503-409-3665,FEMALE,412-27-1908,3.09E+15,JCB,19-Mar,214,JD,exercise,not-in-family,armed-forces,Married,6747.524275,2,0,7,3,3
GLHSFJK,Luke Arnold,32,38,US,140 W Gage,Richland,Washington,WA,478172,lbalentyneh6@blogtalkradio.com,434-225-6789,FEMALE,332-24-7377,4.11E+15,VISA,18-May,1589,College,sleeping,own-child,other-service,Married,6747.524275,2,0,7,3,3
0T57VUX,Eddie Walthall,259,39,US,111 Hwy 290 West,Brenham,Texas,TX,604668,gpyrahq8@newsvine.com,210-190-5475,FEMALE,101-64-8915,3.70E+14,American Express,22-Oct,2241,JD,movies,unmarried,craft-repair,Divorced,9175.171899,6,2,7,1,2
6BZIDPN,Stephanie Fultz,186,33,US,10001 W. Bell Road,Sun City,Arizona,AZ,469429,gpyrahq8@newsvine.com,714-300-1299,FEMALE,153-07-1430,3.09E+15,JCB,22-Aug,7588,Associate,cross-fit,wife,craft-repair,Divorced,9175.171899,6,2,7,1,2
FW8WU85,Jamey Poloskey,201,40,US,1116 Robbins Rd,Grand Haven,Michigan,MI,471806,bbampkin2k@sciencedaily.com,703-326-8978,FEMALE,400-04-5776,3.00E+13,Diners Club,22-Oct,8129,PhD,video-games,not-in-family,transport-moving,Married,2953.617963,1,0,3,6,2
NNU5DDO,Christopher Kalichman,436,58,US,17272 Saticoy Street,Van Nuys,California,CA,475705,bbampkin2k@sciencedaily.com,612-846-8892,MALE,338-30-7728,3.09E+15,JCB,21-Oct,1663,PhD,sleeping,other-relative,tech-support,Married,2953.617963,1,0,3,6,2
BYIRSBC,Mildred Miller,189,36,US,2171 Black Rock Turnpike,Fairfield,Connecticut,CT,459122,bbampkin2k@sciencedaily.com,256-402-4921,FEMALE,690-26-7786,4.11E+15,VISA,22-Oct,1385,MD,basketball,own-child,priv-house-serv,Married,2953.617963,1,0,3,6,2
DXBDQRO,Herlinda Lowe,105,33,US,20 SW Second Ave,Rochester,Minnesota,MN,476737,agarnall7i@buzzfeed.com,775-579-4078,FEMALE,394-24-9408,6.01E+15,Discover,20-Mar,7919,High School,kayaking,not-in-family,adm-clerical,Divorced,5715.312991,4,0,5,5,0
N39RAFZ,John Hall,163,31,US,10300 Federal Blvd.,Federal Heights,Colorado,CO,460359,agarnall7i@buzzfeed.com,850-328-3470,MALE,194-37-6486,3.70E+14,American Express,23-Apr,6307,JD,hiking,not-in-family,priv-house-serv,Divorced,5715.312991,4,0,5,5,0
GZWEGLJ,Jamar Brown,219,40,US,14903 South Robert Trail,Rosemount,Minnesota,MN,452735,ktanswillcq@cbc.ca,714-660-5462,FEMALE,881-87-7159,3.09E+15,JCB,18-Nov,158,Associate,golf,not-in-family,transport-moving,Single,7356.559341,8,0,9,2,0
VJ1RHE5,Kathleen Darnell,88,25,US,1090 State Road 28,Milford,Ohio,OH,613583,ktanswillcq@cbc.ca,702-553-1152,FEMALE,833-08-3074,3.09E+15,JCB,19-Nov,5078,JD,movies,husband,handlers-cleaners,Single,7356.559341,8,0,9,2,0
V3A1DNG,Clara Kulp,40,39,US,1525 Wilson Blvd.,Arlington,Virginia,VA,605692,ktanswillcq@cbc.ca,754-553-7295,FEMALE,361-45-4948,3.00E+13,Diners Club,21-Aug,3382,College,hiking,own-child,sales,Single,7356.559341,8,0,9,2,0
U0PIX1R,Christine Woods,284,42,US,1355 Junction Highway,Kerrville,Texas,TX,438178,chayloria@bandcamp.com,574-389-6594,MALE,651-73-0526,3.70E+14,American Express,20-May,3964,Associate,kayaking,wife,machine-op-inspct,Married,7582.113842,2,1,6,2,0
MF4XOO2,Linda Swavely,59,40,US,1 Adobe Court,Sacramento,California,CA,449221,chayloria@bandcamp.com,619-218-8050,MALE,855-52-6124,3.09E+15,JCB,20-Jun,4950,College,golf,other-relative,protective-serv,Married,7582.113842,2,1,6,2,0
QN7NWCL,Lacey Park,39,31,US,202 Siemens Dr,Cape Girardeau,Missouri,MO,459322,ofackneydj@ed.gov,626-260-4049,FEMALE,805-92-9281,4.11E+15,VISA,20-Jul,2830,High School,polo,husband,handlers-cleaners,Single,4077.501164,1,0,8,0,0
Q81KM6E,Ruth Jenkins,147,34,US,222 North El Dorado Street,Stockton,California,CA,472657,ofackneydj@ed.gov,865-749-5448,MALE,419-84-5922,3.70E+14,American Express,20-Jun,918,High School,dancing,wife,sales,Single,4077.501164,1,0,8,0,0
QK67DC8,Efren Burriss,156,37,US,1021 Third Avenue,New York,New York,NY,608331,jborrillf5@cargocollective.com,478-204-5597,MALE,427-47-3356,4.11E+15,VISA,23-Jun,5488,High School,golf,unmarried,exec-managerial,Single,6933.335325,2,1,0,6,1
8LTTTVI,Patricia Twogood,123,31,US,13503 Camino Del Sol,Sun City West,Arizona,AZ,438546,jborrillf5@cargocollective.com,860-203-5663,FEMALE,150-23-3204,3.00E+13,Diners Club,21-Sep,7080,Associate,basketball,wife,prof-specialty,Single,6933.335325,2,1,0,6,1
YX9X6LP,Wendy Johnson,231,43,US,"17200 E Iliff Ave, Unit A-1",Aurora,Colorado,CO,441981,jborrillf5@cargocollective.com,972-786-6936,MALE,371-96-8837,4.11E+15,VISA,23-Jul,7028,College,reading,wife,protective-serv,Single,6933.335325,2,1,0,6,1
FK4MRIZ,Scott Brumley,247,39,US,11745 IH-10 West,San Antonio,Texas,TX,602177,cgymlett9u@cdbaby.com,817-336-5019,FEMALE,647-76-8127,3.00E+13,Diners Club,18-May,7932,College,dancing,wife,handlers-cleaners,Married,19339.20282,2,0,3,4,0
U2DQUK9,Amanda Ostrander,194,35,US,177 Marshall Street,Syracuse,New York,NY,441659,aerrington8z@spiegel.de,859-226-3913,FEMALE,356-78-3822,5.50E+15,Master Card,19-Aug,1419,MD,golf,not-in-family,adm-clerical,Single,22067.728,2,1,9,2,0
6S7AJ2M,Nancy Rangel,119,27,US,1800-19th Street,Sacramento,California,CA,614812,aerrington8z@spiegel.de,209-614-6717,MALE,708-07-6498,6.01E+15,Discover,18-Nov,6681,High School,video-games,other-relative,transport-moving,Single,22067.728,2,1,9,2,0
RY36123,Michael Mccollum,259,43,US,1175 McVey Ave.,Lake Oswego,Oregon,OR,458470,ysamwaye9@ycombinator.com,702-526-3947,FEMALE,226-89-6873,3.70E+14,American Express,19-Nov,2811,Masters,base-jumping,not-in-family,farming-fishing,Married,13466.92071,2,0,5,6,0
4HYFQAA,Gregory Lewis,107,31,US,226 Westminster Drive,Carlisle,Pennsylvania,PA,469646,ysamwaye9@ycombinator.com,805-735-8010,MALE,599-41-6451,3.09E+15,JCB,23-Mar,5325,Associate,yachting,own-child,handlers-cleaners,Married,13466.92071,2,0,5,6,0
YQWFUDS,Robert Wimbush,48,44,US,1509 South Broadway,Edmond,Oklahoma,OK,611118,ysamwaye9@ycombinator.com,315-322-5248,MALE,288-18-7206,4.11E+15,VISA,20-Mar,1774,College,base-jumping,other-relative,sales,Married,13466.92071,2,0,5,6,0
PC5F84S,Adrienne Renner,267,40,US,156 W 52nd St,New York,New York,NY,465158,hbanner6v@china.com.cn,719-301-2526,MALE,324-95-4419,3.70E+14,American Express,21-Sep,5752,JD,camping,wife,transport-moving,Married,19357.79964,2,2,1,1,0
BKZ4I9Q,Janice Williams,286,47,US,"10005 Grant St, Unit F",Denver,Colorado,CO,457130,hbanner6v@china.com.cn,915-979-0442,MALE,836-36-1324,3.00E+13,Diners Club,22-Apr,4333,High School,bungie-jumping,husband,priv-house-serv,Married,19357.79964,2,2,1,1,0
UW8EFSL,Jonathan Williams,175,34,US,1214 South University Ave,Ann Arbor,Michigan,MI,607893,hbanner6v@china.com.cn,425-621-2111,FEMALE,517-92-1472,3.09E+15,JCB,23-Sep,8983,JD,base-jumping,wife,handlers-cleaners,Married,19357.79964,2,2,1,1,0
U1F53MK,Bert Duong,111,29,US,1979 Airline Drive,Bossier City,Louisiana,LA,464736,khickissonf@umn.edu,806-900-4002,FEMALE,795-92-3742,4.11E+15,VISA,21-Jul,2143,PhD,kayaking,own-child,farming-fishing,Married,2615.304467,1,0,7,9,0
LXXBSL1,Justin Hardesty,151,37,US,111 West Port Plaza Bldg,Maryland Heights,Missouri,MO,476198,khickissonf@umn.edu,513-163-7891,FEMALE,292-51-5346,6.01E+15,Discover,18-May,6768,Associate,cross-fit,unmarried,protective-serv,Married,2615.304467,1,0,7,9,0
X3AQWTQ,Aileen Hatley,156,37,US,179 Branham Ln,San Jose,California,CA,444903,khickissonf@umn.edu,520-541-5993,MALE,716-53-6345,3.70E+14,American Express,18-Mar,9956,Associate,hiking,unmarried,machine-op-inspct,Married,2615.304467,1,0,7,9,0
DPV7R6L,Gloria Blackburn,165,36,US,1011 Market Street,San Diego,California,CA,464336,sshilstonei@comcast.net,205-438-5578,MALE,278-43-6937,6.01E+15,Discover,22-Nov,6289,Masters,golf,husband,armed-forces,Married,15777.88702,2,1,5,1,0
9EOM0S4,Joanna Georges,253,41,US,2129 General Booth Blvd,Virginia Beach,Virginia,VA,471453,sshilstonei@comcast.net,225-567-3340,FEMALE,842-53-4790,6.01E+15,Discover,23-Sep,5423,PhD,dancing,other-relative,sales,Married,15777.88702,2,1,5,1,0
JQE6SDJ,Phyllis Jackson,10,26,US,2235 Main Street,Green Bay,Wisconsin,WI,466191,ovincentqy@weibo.com,202-610-4882,MALE,303-07-9462,6.01E+15,Discover,21-Dec,5785,MD,base-jumping,not-in-family,sales,Married,26346.08582,2,1,9,3,0
OH93H8X,Peter Philo,158,33,US,10965 Ventura Blvd,Studio City,California,CA,440930,ovincentqy@weibo.com,915-586-6081,FEMALE,107-80-3499,3.70E+14,American Express,19-Aug,1600,Associate,skydiving,other-relative,handlers-cleaners,Married,26346.08582,2,1,9,3,0
N2AMTSL,Jose Pokorney,436,59,US,2171 Kent Dairy Rd,Alabaster,Alabama,AL,430380,hspanswickn7@facebook.com,813-493-7294,MALE,893-77-4577,3.70E+14,American Express,23-Sep,4662,PhD,board-games,own-child,protective-serv,Married,18474.71111,2,1,3,6,0
Y115PNN,Erika Coleman,91,30,US,16625 362nd Ave,Sandy,Oregon,OR,613178,hspanswickn7@facebook.com,214-868-4935,FEMALE,587-85-4464,3.09E+15,JCB,19-Oct,999,Masters,golf,unmarried,machine-op-inspct,Married,18474.71111,2,1,3,6,0
DNKTA6S,Lynne Robinson,256,42,US,11275 E Via Linda,Scottsdale,Arizona,AZ,460564,cfeyerf1@taobao.com,412-172-8561,FEMALE,169-95-6535,6.01E+15,Discover,18-Jul,3680,MD,bungie-jumping,wife,transport-moving,Married,2619.865336,1,0,5,6,0
LKZ7XZ1,Justin Loeffler,274,46,US,19955 Katy Fwy,Katy,Texas,TX,439929,cfeyerf1@taobao.com,415-479-6492,MALE,572-12-8587,3.09E+15,JCB,19-Jun,7016,High School,bungie-jumping,not-in-family,exec-managerial,Married,2619.865336,1,0,5,6,0
KJE5R1F,Manuel Sterling,275,45,US,1822 Willow Road,Northfield,Illinois,IL,605756,cdeqt@google.pl,814-866-6463,FEMALE,877-40-2702,3.09E+15,JCB,20-Mar,3703,Associate,camping,wife,adm-clerical,Divorced,8901.678357,8,0,2,1,1
0ZHQGWW,Beverly Jackson,1,33,US,1450 Ala Moana Blvd.,Honolulu,Hawaii,HI,451184,cdeqt@google.pl,209-917-6552,FEMALE,415-74-9829,4.11E+15,VISA,21-Dec,5629,High School,yachting,not-in-family,transport-moving,Divorced,8901.678357,8,0,2,1,1
KYEL2G1,Dinorah Perez,85,30,US,105 W. Adams,Chicago,Illinois,IL,459588,wollarenshaw2f@barnesandnoble.com,515-429-0765,MALE,703-55-8370,3.00E+13,Diners Club,22-Nov,6937,Associate,reading,other-relative,protective-serv,Single,10280.80787,3,2,0,5,0
XS1Z6AG,James Grimm,233,37,US,1920 Sears St,Waterloo,Iowa,IA,616637,wollarenshaw2f@barnesandnoble.com,772-913-8713,FEMALE,268-27-2379,6.01E+15,Discover,20-Apr,2676,High School,video-games,wife,sales,Single,10280.80787,3,2,0,5,0
IFSZXNC,Judith Blevins,142,30,US,1100 Baltimore Pike,Springfield,Pennsylvania,PA,447979,wollarenshaw2f@barnesandnoble.com,213-981-6529,MALE,791-71-9106,3.09E+15,JCB,21-Mar,5068,JD,polo,husband,adm-clerical,Single,10280.80787,3,2,0,5,0
B8MF4SJ,John Dixon,266,44,US,1011 Hwy 21 South,Oxford,Alabama,AL,460176,ekollachgg@wunderground.com,251-570-0177,MALE,223-11-1171,3.09E+15,JCB,20-Jun,1961,High School,movies,husband,handlers-cleaners,Married,4698.521352,1,0,5,6,0
